bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
BOTS12.C,Salon Solutions,Mini Spray Bottle,15ml,Black,piece,SSBOTPNO25,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS13.C,Salon Solutions,Mini Spray Bottle,15ml,White,piece,SSBOTPNO26,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS14.C,Salon Solutions,Mini Spray Bottle,15ml,Blue,piece,SSBOTPNO27,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS15.C,Salon Solutions,Mini Spray Bottle,15ml,Green,piece,SSBOTPNO28,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS16.C,Salon Solutions,Mini Spray Bottle,15ml,Orange,piece,SSBOTPNO29,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS17.C,Salon Solutions,Mini Spray Bottle,15ml,Yellow,piece,SSBOTPNO30,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS18.C,Salon Solutions,Mini Spray Bottle,15ml,Semi-Clear,piece,SSBOTPNO31,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS19.C,Salon Solutions,Mini Spray Bottle,15ml,L. Pink,piece,SSBOTPNO32,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS20.C,Salon Solutions,Mini Spray Bottle,15ml,D. Pink,piece,SSBOTPNO33,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS21.C,Salon Solutions,Mini Spray Bottle,15ml,Purple,piece,SSBOTPNO34,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Mini Spray,0.4,50,40,For Cancellation,BLPI - Dasma,0
BOTS22.C,Salon Solutions, Spray Bottle,50ml,Green,piece,SSBOTPNO35,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.4,55,45,For Cancellation,BLPI - Dasma,0
BOTS23.C,Salon Solutions, Spray Bottle,50ml,Orange,piece,SSBOTPNO36,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.4,55,45,For Cancellation,BLPI - Dasma,0
BOTS24.C,Salon Solutions, Spray Bottle,50ml,Blue,piece,SSBOTPNO37,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.4,55,45,For Cancellation,BLPI - Dasma,0
BOTS25.C,Salon Solutions, Spray Bottle,50ml,Pink,piece,SSBOTPNO38,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.4,55,45,For Cancellation,BLPI - Dasma,0
BOTP12.C,Salon Solutions,Lotion Pump Bottle,,Blue,piece,SSBOTPNO39,Cash,For Cancellation,---,---,,Lotion Pump,,,40,For Cancellation,BLPI - Dasma,0
BOTP13.C,Salon Solutions,Lotion Pump Bottle,,Pink,piece,SSBOTPNO40,Cash,For Cancellation,---,---,,Lotion Pump,,,40,For Cancellation,BLPI - Dasma,0
BFB1.C,Salon Solutions,Buffer Block,88x40x12mm,White/Pink,piece,SSBFPNO1,Cash,For Cancellation,---,C,Jindun,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB2.C,Salon Solutions,Buffer Block,88x40x12mm,White/Blue,piece,SSBFPNO2,Cash,For Cancellation,---,C,Jindun,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB3.C,Salon Solutions,Buffer Block,,Peach,piece,SSBFPNO3,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB4.C,Salon Solutions,Buffer Block,,Yellow,piece,SSBFPNO4,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB5.C,Salon Solutions,Buffer Block,,Purple,piece,SSBFPNO5,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB6.C,Salon Solutions,Buffer Block 3-sided 5pk,,White,piece,SSBFPNO6,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB7.C,Salon Solutions,Buffer Block,,Orange,piece,SSBFPNO7,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB8.C,Salon Solutions,Buffer Block,,Blue,piece,SSBFPNO8,Cash,For Cancellation,J-002,C,Supernail,Buffer Block,0.15,25,18,For Cancellation,BLPI - Dasma,0
BFB9.C,Salon Solutions,Buffer Block 3-sided,,Black/Orange,piece,SSBFPNO9,Cash,For Cancellation,J-002/B,C,Supernail,Buffer Block,0.19,25,23,For Cancellation,BLPI - Dasma,0
BFB10,Salon Solutions,Buffer Block 3-sided,,Black/Purple,piece,SSBFPNO10,Cash,For Cancellation,J-002/B,C,Supernail,Buffer Block,0.19,25,23,For Cancellation,BLPI - Dasma,0
BFBIB.C,Salon Solutions,IBD Quick Shine Buffer Block,,Blue,piece,SSBFPNO11,Cash,For Cancellation,---,C,,IBD,,,35,For Cancellation,BLPI - Dasma,0
